"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 11 14:44:36 MSK 2021","Mon Oct 11 14:44:45 MSK 2021","8921","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка продажи и ее настройки","Проверка продажи и ее настройки",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","12","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка работы процесса изменения номера телефона по тестовому сценарию","Проверка работы процесса изменения номера телефона по тестовому сценарию",""
"passed","Mon Oct 11 14:40:42 MSK 2021","Mon Oct 11 14:40:50 MSK 2021","7929","","Проверка авторизации","","Проверка авторизации","Проверка работы плейсхолдера всех трех типов авторизации(номер счета, номер телефона, почта)","Проверка работы плейсхолдера всех трех типов авторизации(номер счета, номер телефона, почта)",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","20","","Проверка ""Суперэкспресс""","","Проверка ""Суперэкспресс""","Проверка пакетной ставки во вкладке ""Суперэкспресс""","Проверка пакетной ставки во вкладке ""Суперэкспресс""",""
"failed","Mon Oct 11 14:48:48 MSK 2021","Mon Oct 11 14:49:08 MSK 2021","20314","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через ЮMoney","Проверка открытия страницы пополнения через ЮMoney",""
"passed","Mon Oct 11 14:42:43 MSK 2021","Mon Oct 11 14:42:56 MSK 2021","13525","","Проверка ленты без авторизации","","Проверка ленты без авторизации","Проверка появления окна авторизации на пари без авторизации","Проверка появления окна авторизации на пари без авторизации",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","17","","Провекра гридов с соревнованиями в линии/лайве","","Провекра гридов с соревнованиями в линии/лайве","Проверка разворачивания доп пари и доч событий","Проверка разворачивания доп пари и доч событий",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","13","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка Самоисключений","Проверка Самоисключений",""
"passed","Mon Oct 11 14:42:56 MSK 2021","Mon Oct 11 14:43:07 MSK 2021","10833","","Проверка ленты без авторизации","","Проверка ленты без авторизации","Проверка истории ставок у нового пользователя","Проверка истории ставок у нового пользователя",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","14","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка фильтров бонусов","Проверка фильтров бонусов",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","13","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Прикрепление и скачивание файла в созданном запросах","Прикрепление и скачивание файла в созданном запросах",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","11","","Тесты на производительность","","Тесты на производительность","Нагрузка процессора","Нагрузка процессора",""
"failed","Mon Oct 11 14:46:07 MSK 2021","Mon Oct 11 14:46:26 MSK 2021","18476","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Минимальной суммы ставки","Проверка Минимальной суммы ставки",""
"passed","Mon Oct 11 14:41:23 MSK 2021","Mon Oct 11 14:41:32 MSK 2021","9183","","Проверка авторизации","","Проверка авторизации","Авторизация клиента по email","Авторизация клиента по email",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","14","","Провекра гридов с соревнованиями в линии/лайве","","Провекра гридов с соревнованиями в линии/лайве","Проверка соответсвтия ставки в гриде и ставки в купоне","Проверка соответсвтия ставки в гриде и ставки в купоне",""
